ano,municipio,nome_municipio,populacao,fonte,metodo,obitos_causa_basica_cerebrovascular,taxa_100mil
2010,330245,Macuco,5269,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,4,75.91573353577529
2010,330250,Magé,227322,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,169,74.343882246329
2010,330260,Mangaratiba,36456,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,22,60.346719332894445
2010,330270,Maricá,127461,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,96,75.31715583590275
2010,330280,Mendes,17935,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,12,66.90827989963758
2010,330285,Mesquita,168376,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,113,67.11170238038676
2010,330290,Miguel Pereira,24642,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,21,85.22035549062576
2010,330300,Miracema,26843,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,17,63.33122229259025
2010,330310,Natividade,15082,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,15,99.45630552977059
2010,330320,Nilópolis,157425,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,126,80.0381133873273
2010,330330,Niterói,487562,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,304,62.351044585098926
2010,330340,Nova Friburgo,182082,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,122,67.00277896771783
2010,330350,Nova Iguaçu,796257,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,461,57.89588035018845
2010,330360,Paracambi,47124,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,47,99.73686444274679
2010,330370,Paraíba do Sul,41084,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,34,82.7572777723688
2010,330380,Paraty,37533,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,16,42.62915301201609
2010,330385,Paty do Alferes,26359,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,12,45.52524754353352
