year,month,filename,status,checked_at_utc
2020,8,RDRJ2008.DBC,disponivel,2026-07-16T23:08:48Z
2021,8,RDRJ2108.DBC,disponivel,2026-07-16T23:08:48Z
2022,8,RDRJ2208.DBC,disponivel,2026-07-16T23:08:48Z
2023,8,RDRJ2308.DBC,disponivel,2026-07-16T23:08:48Z
2024,8,RDRJ2408.DBC,disponivel,2026-07-16T23:08:48Z
2025,8,RDRJ2508.DBC,disponivel,2026-07-16T23:08:48Z
2010,9,RDRJ1009.DBC,disponivel,2026-07-16T23:08:48Z
2011,9,RDRJ1109.DBC,disponivel,2026-07-16T23:08:48Z
2012,9,RDRJ1209.DBC,disponivel,2026-07-16T23:08:48Z
2013,9,RDRJ1309.DBC,disponivel,2026-07-16T23:08:48Z
2014,9,RDRJ1409.DBC,disponivel,2026-07-16T23:08:48Z
2015,9,RDRJ1509.DBC,disponivel,2026-07-16T23:08:48Z
2016,9,RDRJ1609.DBC,disponivel,2026-07-16T23:08:48Z
2017,9,RDRJ1709.DBC,disponivel,2026-07-16T23:08:48Z
2018,9,RDRJ1809.DBC,disponivel,2026-07-16T23:08:48Z
2019,9,RDRJ1909.DBC,disponivel,2026-07-16T23:08:48Z
2020,9,RDRJ2009.DBC,disponivel,2026-07-16T23:08:48Z
2021,9,RDRJ2109.DBC,disponivel,2026-07-16T23:08:48Z
2022,9,RDRJ2209.DBC,disponivel,2026-07-16T23:08:48Z
2023,9,RDRJ2309.DBC,disponivel,2026-07-16T23:08:48Z
2024,9,RDRJ2409.DBC,disponivel,2026-07-16T23:08:48Z
2025,9,RDRJ2509.DBC,disponivel,2026-07-16T23:08:48Z
2010,10,RDRJ1010.DBC,disponivel,2026-07-16T23:08:48Z
2011,10,RDRJ1110.DBC,disponivel,2026-07-16T23:08:48Z
2012,10,RDRJ1210.DBC,disponivel,2026-07-16T23:08:48Z
2013,10,RDRJ1310.DBC,disponivel,2026-07-16T23:08:48Z
2014,10,RDRJ1410.DBC,disponivel,2026-07-16T23:08:48Z
2015,10,RDRJ1510.DBC,disponivel,2026-07-16T23:08:48Z
2016,10,RDRJ1610.DBC,disponivel,2026-07-16T23:08:48Z
2017,10,RDRJ1710.DBC,disponivel,2026-07-16T23:08:48Z
2018,10,RDRJ1810.DBC,disponivel,2026-07-16T23:08:48Z
2019,10,RDRJ1910.DBC,disponivel,2026-07-16T23:08:48Z
2020,10,RDRJ2010.DBC,disponivel,2026-07-16T23:08:48Z
2021,10,RDRJ2110.DBC,disponivel,2026-07-16T23:08:48Z
2022,10,RDRJ2210.DBC,disponivel,2026-07-16T23:08:48Z
2023,10,RDRJ2310.DBC,disponivel,2026-07-16T23:08:48Z
2024,10,RDRJ2410.DBC,disponivel,2026-07-16T23:08:48Z
2025,10,RDRJ2510.DBC,disponivel,2026-07-16T23:08:48Z
2010,11,RDRJ1011.DBC,disponivel,2026-07-16T23:08:48Z
2011,11,RDRJ1111.DBC,disponivel,2026-07-16T23:08:48Z
2012,11,RDRJ1211.DBC,disponivel,2026-07-16T23:08:48Z
2013,11,RDRJ1311.DBC,disponivel,2026-07-16T23:08:48Z
2014,11,RDRJ1411.DBC,disponivel,2026-07-16T23:08:48Z
2015,11,RDRJ1511.DBC,disponivel,2026-07-16T23:08:48Z
2016,11,RDRJ1611.DBC,disponivel,2026-07-16T23:08:48Z
2017,11,RDRJ1711.DBC,disponivel,2026-07-16T23:08:48Z
2018,11,RDRJ1811.DBC,disponivel,2026-07-16T23:08:48Z
2019,11,RDRJ1911.DBC,disponivel,2026-07-16T23:08:48Z
2020,11,RDRJ2011.DBC,disponivel,2026-07-16T23:08:48Z
2021,11,RDRJ2111.DBC,disponivel,2026-07-16T23:08:48Z
2022,11,RDRJ2211.DBC,disponivel,2026-07-16T23:08:48Z
2023,11,RDRJ2311.DBC,disponivel,2026-07-16T23:08:48Z
2024,11,RDRJ2411.DBC,disponivel,2026-07-16T23:08:48Z
2025,11,RDRJ2511.DBC,disponivel,2026-07-16T23:08:48Z
2010,12,RDRJ1012.DBC,disponivel,2026-07-16T23:08:48Z
2011,12,RDRJ1112.DBC,disponivel,2026-07-16T23:08:48Z
2012,12,RDRJ1212.DBC,disponivel,2026-07-16T23:08:48Z
2013,12,RDRJ1312.DBC,disponivel,2026-07-16T23:08:48Z
2014,12,RDRJ1412.DBC,disponivel,2026-07-16T23:08:48Z
2015,12,RDRJ1512.DBC,disponivel,2026-07-16T23:08:48Z
2016,12,RDRJ1612.DBC,disponivel,2026-07-16T23:08:48Z
2017,12,RDRJ1712.DBC,disponivel,2026-07-16T23:08:48Z
2018,12,RDRJ1812.DBC,disponivel,2026-07-16T23:08:48Z
2019,12,RDRJ1912.DBC,disponivel,2026-07-16T23:08:48Z
2020,12,RDRJ2012.DBC,disponivel,2026-07-16T23:08:48Z
2021,12,RDRJ2112.DBC,disponivel,2026-07-16T23:08:48Z
2022,12,RDRJ2212.DBC,disponivel,2026-07-16T23:08:48Z
2023,12,RDRJ2312.DBC,disponivel,2026-07-16T23:08:48Z
2024,12,RDRJ2412.DBC,disponivel,2026-07-16T23:08:48Z
2025,12,RDRJ2512.DBC,disponivel,2026-07-16T23:08:48Z
